,ndims,niter,popsize,alpha_max,beta_max,angle_adjuster,coef,y
326,5.0,10.0,20.0,30.0,120.0,linear,0.99,26.818211124570773
327,5.0,50.0,20.0,30.0,120.0,linear,0.99,19.73600488028186
328,5.0,100.0,20.0,30.0,120.0,linear,0.99,14.080098479356408
329,5.0,10.0,20.0,30.0,120.0,linear,0.99,16.865463121499317
330,5.0,50.0,20.0,30.0,120.0,linear,0.99,14.478089440230733
331,5.0,100.0,20.0,30.0,120.0,linear,0.99,3.2118446129795544
332,5.0,10.0,20.0,30.0,120.0,linear,0.99,23.48814212773879
333,5.0,50.0,20.0,30.0,120.0,linear,0.99,3.2118446129795544
334,5.0,100.0,50.0,30.0,120.0,linear,0.99,8.178591914988615
335,5.0,10.0,50.0,30.0,120.0,linear,0.99,23.67526105004159
336,5.0,50.0,50.0,30.0,120.0,linear,0.99,9.018331788399863
337,5.0,100.0,50.0,30.0,120.0,linear,0.99,13.411684698101077
338,5.0,10.0,50.0,30.0,120.0,linear,0.99,22.3226375706437
339,5.0,50.0,50.0,30.0,120.0,linear,0.99,13.411684698101077
340,5.0,100.0,50.0,30.0,120.0,linear,0.99,6.238365892375974
341,5.0,10.0,50.0,30.0,120.0,linear,0.99,18.982692993532233
342,5.0,50.0,50.0,30.0,120.0,linear,0.99,8.716206771067945
343,5.0,100.0,100.0,30.0,120.0,linear,0.99,10.954412018804632
344,5.0,10.0,100.0,30.0,120.0,linear,0.99,16.01730759023698
345,5.0,50.0,100.0,30.0,120.0,linear,0.99,10.954412018804632
346,5.0,100.0,100.0,30.0,120.0,linear,0.99,3.614099080396798
347,5.0,10.0,100.0,30.0,120.0,linear,0.99,13.576275923664312
348,5.0,50.0,100.0,30.0,120.0,linear,0.99,3.614099080396798
349,5.0,100.0,100.0,30.0,120.0,linear,0.99,2.3319963435392452
350,5.0,10.0,100.0,30.0,120.0,linear,0.99,3.896633556116143
351,5.0,50.0,100.0,30.0,120.0,linear,0.99,2.3319963435392452
352,5.0,100.0,20.0,30.0,120.0,geometric,0.99,4.4156356109279855
353,5.0,10.0,20.0,30.0,120.0,geometric,0.99,15.250321779464095
354,5.0,50.0,20.0,30.0,120.0,geometric,0.99,12.440642396688858
355,5.0,100.0,20.0,30.0,120.0,geometric,0.99,7.722603629577399
356,5.0,10.0,20.0,30.0,120.0,geometric,0.99,23.965141574496823
357,5.0,50.0,20.0,30.0,120.0,geometric,0.99,10.438532035452361
358,5.0,100.0,20.0,30.0,120.0,geometric,0.99,10.732330529336991
359,5.0,10.0,20.0,30.0,120.0,geometric,0.99,16.777977050283226
360,5.0,50.0,20.0,30.0,120.0,geometric,0.99,11.524324756413876
361,5.0,100.0,50.0,30.0,120.0,geometric,0.99,6.4993282240842305
362,5.0,10.0,50.0,30.0,120.0,geometric,0.99,26.53657997951788
363,5.0,50.0,50.0,30.0,120.0,geometric,0.99,19.590310848708427
364,5.0,100.0,50.0,30.0,120.0,geometric,0.99,5.586107823001242
365,5.0,10.0,50.0,30.0,120.0,geometric,0.99,17.560348014914602
366,5.0,50.0,50.0,30.0,120.0,geometric,0.99,16.715561381498567
367,5.0,100.0,50.0,30.0,120.0,geometric,0.99,4.378415095338234
368,5.0,10.0,50.0,30.0,120.0,geometric,0.99,28.024739545014455
369,5.0,50.0,50.0,30.0,120.0,geometric,0.99,6.106723971468966
370,5.0,100.0,100.0,30.0,120.0,geometric,0.99,7.106988901542515
